SEASON,BASIN,LAT,LON,DIST2LAND,USA_SSHS,TD9636_STAGE,STORM_SPEED,STORM_DIR
1980,SP,-12.5,172.5,647,TS,1,6,350
1980,SP,-12.2,172.4,653,TS,1,6,350
1980,SP,-11.9,172.4,670,TS,1,5,360
1980,SP,-11.7,172.4,682,TS,1,4,10
1980,SP,-11.5,172.5,703,TS,1,4,20
1980,SP,-11.3,172.6,725,TS,1,4,35
1980,SP,-11.2,172.7,741,TS,1,3,55
1980,SP,-11.2,172.9,758,TS,1,3,85
1980,SP,-11.2,173.0,767,TS,1,3,130
1980,SP,-11.3,173.1,770,TS,1,4,150
1980,SP,-11.6,173.2,762,TS,1,5,150
1980,SP,-11.8,173.3,760,TS,1,5,145
1980,SP,-12.0,173.5,751,TS,2,6,140
1980,SP,-12.2,173.7,720,TS,2,6,135
1980,SP,-12.5,173.9,680,TS,2,7,135
1980,SP,-12.7,174.2,643,TS,2,7,140
1980,SP,-13.0,174.4,603,TS,2,8,150
1980,SP,-13.4,174.6,554,TS,2,9,160
1980,SP,-13.9,174.7,502,TS,2,11,165
1980,SP,-14.4,174.8,451,TS,2,11,165
1980,SP,-15.0,175.0,386,TS,2,12,170
1980,SP,-15.6,175.1,331,TS,2,13,165
1980,SP,-16.2,175.3,272,TS,2,13,165
1980,SP,-16.9,175.5,216,TS,2,14,160
1980,SP,-17.5,175.8,158,TS,4,14,150
1980,SP,-18.1,176.2,106,TS,4,15,140
1980,SP,-18.6,176.8,76,TS,4,15,135
1980,SP,-19.1,177.4,102,TS,4,14,125
1980,SP,-19.4,178.0,123,TS,2,12,115
1980,SP,-19.6,178.6,151,TS,2,11,95
1980,SP,-19.6,179.2,175,TS,2,12,90
1980,SP,-19.5,179.9,201,TS,2,14,90
1980,SP,-19.6,180.7,269,TS,1,17,100
1980,SP,-19.8,181.6,359,TS,1,20,105
1980,SP,-20.2,182.7,481,TS,1,22,105
1980,SP,-20.5,183.9,590,TS,1,22,105
1980,SP,-20.8,185.0,698,TS,1,22,105
1980,SP,-21.1,186.1,810,TS,1,22,105
1980,SP,-21.4,187.2,850,TS,1,22,105
1980,SP,-21.7,188.4,886,TS,1,22,105
1980,SP,-22.0,189.5,934,TS,1,22,105
1980,SP,-14.7,136.6,44,TS,1,2,15
1980,SP,-14.8,136.8,55,TS,1,6,130
1980,SP,-15.0,137.1,79,TS,1,7,135
1980,SP,-15.3,137.3,79,TS,1,8,140
1980,SP,-15.7,137.6,49,TS,1,8,140
1980,SP,-16.0,137.9,30,TS,1,8,145
1980,SP,-16.3,138.1,30,TS,1,7,145
1980,SP,-16.6,138.3,22,TS,1,6,145
1980,SP,-16.8,138.5,0,TS,1,5,145
1980,SP,-17.0,138.6,0,TS,1,4,145
1980,SP,-17.1,138.7,0,TS,1,4,140
1980,SP,-17.2,138.9,0,TS,1,3,125
1980,SP,-17.3,139.0,0,TS,1,3,125
1980,SP,-17.4,139.1,0,TS,1,3,130
1980,SP,-17.5,139.3,0,TS,1,4,130
1980,SP,-17.7,139.4,0,TS,1,5,125
1980,SP,-17.8,139.7,0,TS,2,5,120
1980,SP,-17.9,139.9,0,TS,2,5,110
1980,SP,-18.0,140.2,0,TS,2,6,110
1980,SP,-18.1,140.5,0,TS,2,6,110
1980,SP,-18.2,140.8,0,TS,2,6,115
1980,SP,-18.4,141.1,0,TS,2,6,115
1980,SP,-18.5,141.3,0,TS,2,6,120
1980,SP,-18.6,141.6,0,TS,2,8,115
1980,SP,-18.8,142.1,0,TS,2,12,105
1980,SP,-19.0,142.8,0,TS,2,17,105
1980,SP,-19.2,143.8,0,TS,2,22,105
1980,SP,-19.5,145.0,0,TS,2,23,105
1980,SP,-19.9,146.2,0,TS,2,20,110
1980,SP,-20.2,147.0,0,TS,2,15,120
1980,SP,-20.6,147.6,0,TS,2,15,125
1980,SP,-21.0,148.3,0,TS,2,16,125
1980,SP,-21.5,149.1,0,TS,2,20,120
1980,SP,-22.0,150.2,30,TS,2,24,115
1980,SP,-22.6,151.4,61,TS,2,24,115
1980,SP,-23.0,152.6,147,TS,2,23,115
1980,SP,-23.5,153.6,148,TS,2,20,120
1980,SP,-24.0,154.4,142,TS,2,17,130
1980,SP,-24.5,155.0,170,TS,2,16,135
